No	Abbreviated Journal Title	Full Journal Title	ISSN	SUBJECT
199	ADV WATER RESOUR	ADVANCES IN WATER RESOURCES	0309-1708	WATER RESOURCES
200	AEOLIAN RES	AEOLIAN RESEARCH	1875-9637	GEOGRAPHY, PHYSICAL
201	AEQUATIONES MATH	AEQUATIONES MATHEMATICAE	0001-9054	MATHEMATICS; MATHEMATICS, APPLIED
202	AEROBIOLOGIA	AEROBIOLOGIA	0393-5965	BIOLOGY; ENVIRONMENTAL SCIENCES
203	AERONAUT J	AERONAUTICAL JOURNAL	0001-9240	ENGINEERING, AEROSPACE
204	AEROSOL AIR QUAL RES	AEROSOL AND AIR QUALITY RESEARCH	1680-8584	ENVIRONMENTAL SCIENCES
205	AEROSOL SCI TECH	AEROSOL SCIENCE AND TECHNOLOGY	0278-6826	ENGINEERING, MECHANICAL; ENGINEERING, CHEMICAL; ENVIRONMENTAL SCIENCES; METEOROLOGY & ATMOSPHERIC SCIENCES
206	AEROSP SCI TECHNOL	AEROSPACE SCIENCE AND TECHNOLOGY	1270-9638	ENGINEERING, AEROSPACE
207	AESTHET PLAST SURG	AESTHETIC PLASTIC SURGERY	0364-216X	SURGERY
208	AESTHET SURG J	AESTHETIC SURGERY JOURNAL	1090-820X	SURGERY
209	AFR INVERTEBR	AFRICAN INVERTEBRATES	1681-5556	ENTOMOLOGY
210	AFR J ECOL	AFRICAN JOURNAL OF ECOLOGY	0141-6707	ECOLOGY
211	AFR J MAR SCI	AFRICAN JOURNAL OF MARINE SCIENCE	1814-232X	MARINE & FRESHWATER BIOLOGY
212	AFR ZOOL	AFRICAN ZOOLOGY	1562-7020	ZOOLOGY
213	AGE	AGE	0161-9152	GERIATRICS & GERONTOLOGY
214	AGE AGEING	AGE AND AGEING	0002-0729	GERIATRICS & GERONTOLOGY
215	AGEING RES REV	AGEING RESEARCH REVIEWS	1568-1637	CELL BIOLOGY; GERIATRICS & GERONTOLOGY
216	AGGRESSIVE BEHAV	AGGRESSIVE BEHAVIOR	0096-140X	BEHAVIORAL SCIENCES
217	AGING CELL	AGING CELL	1474-9718	GERIATRICS & GERONTOLOGY; CELL BIOLOGY
218	AGING DIS	AGING AND DISEASE	2152-5250	GERIATRICS & GERONTOLOGY
219	AGING MALE	AGING MALE	1368-5538	UROLOGY & NEPHROLOGY
220	AGING MENT HEALTH	AGING & MENTAL HEALTH	1360-7863	GERIATRICS & GERONTOLOGY; PSYCHIATRY
221	AGING-US	AGING-US	1945-4589	CELL BIOLOGY
222	AGR ECON-BLACKWELL	AGRICULTURAL ECONOMICS	0169-5150	AGRICULTURAL ECONOMICS & POLICY
223	AGR ECOSYST ENVIRON	AGRICULTURE ECOSYSTEMS & ENVIRONMENT	0167-8809	ENVIRONMENTAL SCIENCES; ECOLOGY; AGRICULTURE, MULTIDISCIPLINARY
224	AGR FOOD SCI	AGRICULTURAL AND FOOD SCIENCE	1459-6067	FOOD SCIENCE & TECHNOLOGY; AGRICULTURE, MULTIDISCIPLINARY
225	AGR FOREST ENTOMOL	AGRICULTURAL AND FOREST ENTOMOLOGY	1461-9555	ENTOMOLOGY
226	AGR FOREST METEOROL	AGRICULTURAL AND FOREST METEOROLOGY	0168-1923	METEOROLOGY & ATMOSPHERIC SCIENCES; FORESTRY; AGRONOMY
227	AGR HUM VALUES	AGRICULTURE AND HUMAN VALUES	0889-048X	HISTORY & PHILOSOPHY OF SCIENCE; AGRICULTURE, MULTIDISCIPLINARY
228	AGR SYST	AGRICULTURAL SYSTEMS	0308-521X	AGRICULTURE, MULTIDISCIPLINARY
229	AGR WATER MANAGE	AGRICULTURAL WATER MANAGEMENT	0378-3774	AGRONOMY; WATER RESOURCES
230	AGRIBUSINESS	AGRIBUSINESS	0742-4477	AGRICULTURAL ECONOMICS & POLICY
231	AGROECOL SUST FOOD	AGROECOLOGY AND SUSTAINABLE FOOD SYSTEMS	2168-3565	AGRICULTURE, MULTIDISCIPLINARY
232	AGROFOREST SYST	AGROFORESTRY SYSTEMS	0167-4366	AGRONOMY; FORESTRY
233	AGRON J	AGRONOMY JOURNAL	0002-1962	AGRONOMY
234	AGRON SUSTAIN DEV	AGRONOMY FOR SUSTAINABLE DEVELOPMENT	1774-0746	AGRONOMY; GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY
235	AI MAG	AI MAGAZINE	0738-4602	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE
236	AIAA J	AIAA JOURNAL	0001-1452	ENGINEERING, AEROSPACE
237	AICHE J	AICHE JOURNAL	0001-1541	ENGINEERING, CHEMICAL
238	AIDS	AIDS	0269-9370	INFECTIOUS DISEASES; IMMUNOLOGY; VIROLOGY
239	AIDS PATIENT CARE ST	AIDS PATIENT CARE AND STDS	1087-2914	INFECTIOUS DISEASES
240	AIDS RES HUM RETROV	AIDS RESEARCH AND HUMAN RETROVIRUSES	0889-2229	IMMUNOLOGY; VIROLOGY; INFECTIOUS DISEASES
241	AIDS RES THER	AIDS RESEARCH AND THERAPY	1742-6405	INFECTIOUS DISEASES
242	AIDS REV	AIDS REVIEWS	1139-6121	IMMUNOLOGY; INFECTIOUS DISEASES
243	AIP ADV	AIP ADVANCES	2158-3226	PHYSICS, APPLIED; MATERIALS SCIENCE, MULTIDISCIPLINARY
244	AIR QUAL ATMOS HLTH	AIR QUALITY ATMOSPHERE AND HEALTH	1873-9318	ENVIRONMENTAL SCIENCES
245	ALCHERINGA	ALCHERINGA	0311-5518	PALEONTOLOGY
246	ALCOHOL	ALCOHOL	0741-8329	TOXICOLOGY; SUBSTANCE ABUSE; PHARMACOLOGY & PHARMACY
247	ALCOHOL ALCOHOLISM	ALCOHOL AND ALCOHOLISM	0735-0414	SUBSTANCE ABUSE
248	ALCOHOL CLIN EXP RES	ALCOHOLISM-CLINICAL AND EXPERIMENTAL RESEARCH	0145-6008	SUBSTANCE ABUSE
249	ALDRICHIM ACTA	ALDRICHIMICA ACTA	0002-5100	CHEMISTRY, ORGANIC
250	ALGAL RES	ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS	2211-9264	BIOTECHNOLOGY & APPLIED MICROBIOLOGY
251	ALGEBR GEOM TOPOL	ALGEBRAIC AND GEOMETRIC TOPOLOGY	1472-2739	MATHEMATICS
252	ALGEBR LOG+	ALGEBRA AND LOGIC	0002-5232	MATHEMATICS
253	ALGEBR NUMBER THEORY	ALGEBRA & NUMBER THEORY	1937-0652	MATHEMATICS
254	ALGEBR REPRESENT TH	ALGEBRAS AND REPRESENTATION THEORY	1386-923X	MATHEMATICS
255	ALGORITHM MOL BIOL	ALGORITHMS FOR MOLECULAR BIOLOGY	1748-7188	MATHEMATICAL & COMPUTATIONAL BIOLOGY; BIOTECHNOLOGY & APPLIED MICROBIOLOGY; BIOCHEMICAL RESEARCH METHODS
256	ALGORITHMICA	ALGORITHMICA	0178-4617	COMPUTER SCIENCE, SOFTWARE ENGINEERING; MATHEMATICS, APPLIED
257	ALIMENT PHARM THER	ALIMENTARY PHARMACOLOGY & THERAPEUTICS	0269-2813	PHARMACOLOGY & PHARMACY; GASTROENTEROLOGY & HEPATOLOGY
258	ALLELOPATHY J	ALLELOPATHY JOURNAL	0971-4693	AGRONOMY
259	ALLERGOL IMMUNOPATH	ALLERGOLOGIA ET IMMUNOPATHOLOGIA	0301-0546	ALLERGY
260	ALLERGY	ALLERGY	0105-4538	ALLERGY ; IMMUNOLOGY
261	ALLERGY ASTHMA IMMUN	ALLERGY ASTHMA & IMMUNOLOGY RESEARCH	2092-7355	ALLERGY ; IMMUNOLOGY
262	ALLERGY ASTHMA PROC	ALLERGY AND ASTHMA PROCEEDINGS	1088-5412	ALLERGY
263	ALPINE BOT	ALPINE BOTANY	1664-2201	PLANT SCIENCES
264	ALTERN THER HEALTH M	ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE	1078-6791	INTEGRATIVE & COMPLEMENTARY MEDICINE
265	ALTEX-ALTERN ANIM EX	ALTEX-ALTERNATIVES TO ANIMAL EXPERIMENTATION	1868-596X	MEDICINE, RESEARCH & EXPERIMENTAL
266	ALZ DIS ASSOC DIS	ALZHEIMER DISEASE & ASSOCIATED DISORDERS	0893-0341	CLINICAL NEUROLOGY ; PATHOLOGY
267	ALZHEIMERS DEMENT	ALZHEIMERS & DEMENTIA	1552-5260	CLINICAL NEUROLOGY
268	ALZHEIMERS RES THER	ALZHEIMERS RESEARCH & THERAPY	1758-9193	CLINICAL NEUROLOGY ; NEUROSCIENCES
269	AM CERAM SOC BULL	AMERICAN CERAMIC SOCIETY BULLETIN	0002-7812	MATERIALS SCIENCE, CERAMICS
270	AM FAM PHYSICIAN	AMERICAN FAMILY PHYSICIAN	0002-838X	PRIMARY HEALTH CARE; MEDICINE, GENERAL & INTERNAL
271	AM FERN J	AMERICAN FERN JOURNAL	0002-8444	PLANT SCIENCES
272	AM HEART J	AMERICAN HEART JOURNAL	0002-8703	CARDIAC & CARDIOVASCULAR SYSTEMS
273	AM J AGR ECON	AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS	0002-9092	AGRICULTURAL ECONOMICS & POLICY
274	AM J AUDIOL	AMERICAN JOURNAL OF AUDIOLOGY	1059-0889	OTORHINOLARYNGOLOGY
275	AM J BIOETHICS	AMERICAN JOURNAL OF BIOETHICS	1526-5161	MEDICAL ETHICS
276	AM J BOT	AMERICAN JOURNAL OF BOTANY	0002-9122	PLANT SCIENCES
277	AM J CANCER RES	AMERICAN JOURNAL OF CANCER RESEARCH	2156-6976	ONCOLOGY
278	AM J CARDIOL	AMERICAN JOURNAL OF CARDIOLOGY	0002-9149	CARDIAC & CARDIOVASCULAR SYSTEMS
279	AM J CARDIOVASC DRUG	AMERICAN JOURNAL OF CARDIOVASCULAR DRUGS	1175-3277	PHARMACOLOGY & PHARMACY; CARDIAC & CARDIOVASCULAR SYSTEMS
280	AM J CHINESE MED	AMERICAN JOURNAL OF CHINESE MEDICINE	0192-415X	INTEGRATIVE & COMPLEMENTARY MEDICINE; MEDICINE, GENERAL & INTERNAL
281	AM J CLIN DERMATOL	AMERICAN JOURNAL OF CLINICAL DERMATOLOGY	1175-0561	DERMATOLOGY
282	AM J CLIN NUTR	AMERICAN JOURNAL OF CLINICAL NUTRITION	0002-9165	NUTRITION & DIETETICS
283	AM J CLIN ONCOL-CANC	AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS	0277-3732	ONCOLOGY
284	AM J CLIN PATHOL	AMERICAN JOURNAL OF CLINICAL PATHOLOGY	0002-9173	PATHOLOGY
285	AM J CRIT CARE	AMERICAN JOURNAL OF CRITICAL CARE	1062-3264	NURSING; CRITICAL CARE MEDICINE
286	AM J DENT	AMERICAN JOURNAL OF DENTISTRY	0894-8275	DENTISTRY, ORAL SURGERY & MEDICINE
287	AM J DERMATOPATH	AMERICAN JOURNAL OF DERMATOPATHOLOGY	0193-1091	DERMATOLOGY
288	AM J DRUG ALCOHOL AB	AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE	0095-2990	SUBSTANCE ABUSE
289	AM J EMERG MED	AMERICAN JOURNAL OF EMERGENCY MEDICINE	0735-6757	EMERGENCY MEDICINE
290	AM J ENOL VITICULT	AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE	0002-9254	BIOTECHNOLOGY & APPLIED MICROBIOLOGY; HORTICULTURE; FOOD SCIENCE & TECHNOLOGY
291	AM J EPIDEMIOL	AMERICAN JOURNAL OF EPIDEMIOLOGY	0002-9262	PUBLIC, ENVIRONMENTAL & OCC
292	AM J GASTROENTEROL	AMERICAN JOURNAL OF GASTROENTEROLOGY	0002-9270	GASTROENTEROLOGY & HEPATOLOGY
293	AM J GERIAT PSYCHIAT	AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY	1064-7481	GERIATRICS & GERONTOLOGY; PSYCHIATRY
294	AM J HEALTH-SYST PH	AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY	1079-2082	PHARMACOLOGY & PHARMACY
295	AM J HEMATOL	AMERICAN JOURNAL OF HEMATOLOGY	0361-8609	HEMATOLOGY
296	AM J HUM BIOL	AMERICAN JOURNAL OF HUMAN BIOLOGY	1042-0533	BIOLOGY
297	AM J HUM GENET	AMERICAN JOURNAL OF HUMAN GENETICS	0002-9297	GENETICS & HEREDITY
298	AM J HYPERTENS	AMERICAN JOURNAL OF HYPERTENSION	0895-7061	PERIPHERAL VASCULAR DISEASE
299	AM J IND MED	AMERICAN JOURNAL OF INDUSTRIAL MEDICINE	0271-3586	PUBLIC, ENVIRONMENTAL & OCC
300	AM J INFECT CONTROL	AMERICAN JOURNAL OF INFECTION CONTROL	0196-6553	INFECTIOUS DISEASES; PUBLIC, ENVIRONMENTAL & OCC
301	AM J KIDNEY DIS	AMERICAN JOURNAL OF KIDNEY DISEASES	0272-6386	UROLOGY & NEPHROLOGY
302	AM J MANAG CARE	AMERICAN JOURNAL OF MANAGED CARE	1088-0224	MEDICINE, GENERAL & INTERNAL; HEALTH CARE SCIENCES & SERVICES
303	AM J MATH	AMERICAN JOURNAL OF MATHEMATICS	0002-9327	MATHEMATICS
304	AM J MED	AMERICAN JOURNAL OF MEDICINE	0002-9343	MEDICINE, GENERAL & INTERNAL
305	AM J MED GENET A	AMERICAN JOURNAL OF MEDICAL GENETICS PART A	1552-4825	GENETICS & HEREDITY
306	AM J MED GENET B	AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS	1552-4841	PSYCHIATRY; GENETICS & HEREDITY
307	AM J MED GENET C	AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS	1552-4868	GENETICS & HEREDITY
308	AM J MED QUAL	AMERICAN JOURNAL OF MEDICAL QUALITY	1062-8606	HEALTH CARE SCIENCES & SERVICES
309	AM J MED SCI	AMERICAN JOURNAL OF THE MEDICAL SCIENCES	0002-9629	MEDICINE, GENERAL & INTERNAL
310	AM J NEPHROL	AMERICAN JOURNAL OF NEPHROLOGY	0250-8095	UROLOGY & NEPHROLOGY
311	AM J NEURORADIOL	AMERICAN JOURNAL OF NEURORADIOLOGY	0195-6108	CLINICAL NEUROLOGY ; RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING; NEUROIMAGING
312	AM J NURS	AMERICAN JOURNAL OF NURSING	0002-936X	NURSING
313	AM J OBSTET GYNECOL	AMERICAN JOURNAL OF OBSTETRICS AND GYNECOLOGY	0002-9378	OBSTETRICS & GYNECOLOGY
314	AM J OPHTHALMOL	AMERICAN JOURNAL OF OPHTHALMOLOGY	0002-9394	OPHTHALMOLOGY
315	AM J ORTHOD DENTOFAC	AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS	0889-5406	DENTISTRY, ORAL SURGERY & MEDICINE
316	AM J ORTHOPSYCHIAT	AMERICAN JOURNAL OF ORTHOPSYCHIATRY	0002-9432	PSYCHIATRY
317	AM J PATHOL	AMERICAN JOURNAL OF PATHOLOGY	0002-9440	PATHOLOGY
318	AM J PERINAT	AMERICAN JOURNAL OF PERINATOLOGY	0735-1631	OBSTETRICS & GYNECOLOGY; PEDIATRICS
319	AM J PHARM EDUC	AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION	0002-9459	PHARMACOLOGY & PHARMACY; EDUCATION, SCIENTIFIC DISCIPLINES
320	AM J PHYS	AMERICAN JOURNAL OF PHYSICS	0002-9505	EDUCATION, SCIENTIFIC DISCIPLINES; PHYSICS, MULTIDISCIPLINARY
321	AM J PHYS ANTHROPOL	AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY	0002-9483	EVOLUTIONARY BIOLOGY
322	AM J PHYS MED REHAB	AMERICAN JOURNAL OF PHYSICAL MEDICINE & REHABILITATION	0894-9115	SPORT SCIENCES; REHABILITATION
323	AM J PHYSIOL-CELL PH	AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY	0363-6143	CELL BIOLOGY; PHYSIOLOGY
324	AM J PHYSIOL-ENDOC M	AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM	0193-1849	PHYSIOLOGY; ENDOCRINOLOGY & METABOLISM
325	AM J PHYSIOL-GASTR L	AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY	0193-1857	GASTROENTEROLOGY & HEPATOLOGY; PHYSIOLOGY
326	AM J PHYSIOL-HEART C	AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY	0363-6135	CARDIAC & CARDIOVASCULAR SYSTEMS; PERIPHERAL VASCULAR DISEASE; PHYSIOLOGY
327	AM J PHYSIOL-LUNG C	AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY	1040-0605	RESPIRATORY SYSTEM; PHYSIOLOGY
328	AM J PHYSIOL-REG I	AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY	0363-6119	PHYSIOLOGY
329	AM J PHYSIOL-RENAL	AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY	1931-857X	UROLOGY & NEPHROLOGY; PHYSIOLOGY
330	AM J POTATO RES	AMERICAN JOURNAL OF POTATO RESEARCH	1099-209X	AGRONOMY
331	AM J PREV MED	AMERICAN JOURNAL OF PREVENTIVE MEDICINE	0749-3797	PUBLIC, ENVIRONMENTAL & OCC; MEDICINE, GENERAL & INTERNAL
332	AM J PRIMATOL	AMERICAN JOURNAL OF PRIMATOLOGY	0275-2565	ZOOLOGY
333	AM J PSYCHIAT	AMERICAN JOURNAL OF PSYCHIATRY	0002-953X	PSYCHIATRY
334	AM J PUBLIC HEALTH	AMERICAN JOURNAL OF PUBLIC HEALTH	0090-0036	PUBLIC, ENVIRONMENTAL & OCC
335	AM J REPROD IMMUNOL	AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY	1046-7408	REPRODUCTIVE BIOLOGY; IMMUNOLOGY
336	AM J RESP CELL MOL	AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY	1044-1549	RESPIRATORY SYSTEM; CELL BIOLOGY; BIOCHEMISTRY & MOLECULAR BIOLOGY
337	AM J RESP CRIT CARE	AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE	1073-449X	CRITICAL CARE MEDICINE; RESPIRATORY SYSTEM
338	AM J RHINOL ALLERGY	AMERICAN JOURNAL OF RHINOLOGY & ALLERGY	1945-8924	OTORHINOLARYNGOLOGY
339	AM J ROENTGENOL	AMERICAN JOURNAL OF ROENTGENOLOGY	0361-803X	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING
340	AM J SCI	AMERICAN JOURNAL OF SCIENCE	0002-9599	GEOSCIENCES, MULTIDISCIPLINARY
341	AM J SPEECH-LANG PAT	AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY	1058-0360	AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY; REHABILITATION
342	AM J SPORT MED	AMERICAN JOURNAL OF SPORTS MEDICINE	0363-5465	SPORT SCIENCES; ORTHOPEDICS
343	AM J SURG	AMERICAN JOURNAL OF SURGERY	0002-9610	SURGERY
344	AM J SURG PATHOL	AMERICAN JOURNAL OF SURGICAL PATHOLOGY	0147-5185	SURGERY ; PATHOLOGY
345	AM J TRANSL RES	AMERICAN JOURNAL OF TRANSLATIONAL RESEARCH	1943-8141	MEDICINE, RESEARCH & EXPERIMENTAL; ONCOLOGY
346	AM J TRANSPLANT	AMERICAN JOURNAL OF TRANSPLANTATION	1600-6135	SURGERY ; TRANSPLANTATION
347	AM J TROP MED HYG	AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE	0002-9637	TROPICAL MEDICINE; PUBLIC, ENVIRONMENTAL & OCC
348	AM J VET RES	AMERICAN JOURNAL OF VETERINARY RESEARCH	0002-9645	VETERINARY SCIENCES
349	AM LAB	AMERICAN LABORATORY	0044-7749	CHEMISTRY, ANALYTICAL; INSTRUMENTS & INSTRUMENTATION
350	AM MALACOL BULL	AMERICAN MALACOLOGICAL BULLETIN	0740-2783	ZOOLOGY; MARINE & FRESHWATER BIOLOGY
351	AM MIDL NAT	AMERICAN MIDLAND NATURALIST	0003-0031	BIODIVERSITY CONSERVATION; ECOLOGY
352	AM MINERAL	AMERICAN MINERALOGIST	0003-004X	MINERALOGY; GEOCHEMISTRY & GEOPHYSICS
353	AM MUS NOVIT	AMERICAN MUSEUM NOVITATES	0003-0082	ZOOLOGY; BIODIVERSITY CONSERVATION
354	AM NAT	AMERICAN NATURALIST	0003-0147	EVOLUTIONARY BIOLOGY; ECOLOGY
355	AM SCI	AMERICAN SCIENTIST	0003-0996	MULTIDISCIPLINARY SCIENCES
356	AM STAT	AMERICAN STATISTICIAN	0003-1305	STATISTICS & PROBABILITY
357	AMB EXPRESS	AMB EXPRESS	2191-0855	BIOTECHNOLOGY & APPLIED MICROBIOLOGY
358	AMBIO	AMBIO	0044-7447	ENVIRONMENTAL SCIENCES; ENGINEERING, ENVIRONMENTAL
359	AMEGHINIANA	AMEGHINIANA	0002-7014	PALEONTOLOGY
360	AMINO ACIDS	AMINO ACIDS	0939-4451	BIOCHEMISTRY & MOLECULAR BIOLOGY
361	AMPHIBIA-REPTILIA	AMPHIBIA-REPTILIA	0173-5373	ZOOLOGY
362	AMYLOID	AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS	1350-6129	MEDICINE, RESEARCH & EXPERIMENTAL; MEDICINE, GENERAL & INTERNAL; BIOCHEMISTRY & MOLECULAR BIOLOGY
363	AMYOTROPH LAT SCL FR	AMYOTROPHIC LATERAL SCLEROSIS AND FRONTOTEMPORAL DEGENERATION	2167-8421	CLINICAL NEUROLOGY
364	AN ACAD BRAS CIENC	ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS	0001-3765	MULTIDISCIPLINARY SCIENCES
365	ANAEROBE	ANAEROBE	1075-9964	MICROBIOLOGY
366	ANAESTH INTENS CARE	ANAESTHESIA AND INTENSIVE CARE	0310-057X	ANESTHESIOLOGY; CRITICAL CARE MEDICINE
367	ANAESTHESIA	ANAESTHESIA	0003-2409	ANESTHESIOLOGY
368	ANAESTHESIST	ANAESTHESIST	0003-2417	ANESTHESIOLOGY
369	ANAL APPL	ANALYSIS AND APPLICATIONS	0219-5305	MATHEMATICS, APPLIED; MATHEMATICS
370	ANAL BIOANAL CHEM	ANALYTICAL AND BIOANALYTICAL CHEMISTRY	1618-2642	BIOCHEMICAL RESEARCH METHODS; CHEMISTRY, ANALYTICAL
371	ANAL BIOCHEM	ANALYTICAL BIOCHEMISTRY	0003-2697	CHEMISTRY, ANALYTICAL; BIOCHEMICAL RESEARCH METHODS; BIOCHEMISTRY & MOLECULAR BIOLOGY
372	ANAL CELL PATHOL	ANALYTICAL CELLULAR PATHOLOGY	2210-7177	CELL BIOLOGY; PATHOLOGY; ONCOLOGY
373	ANAL CHEM	ANALYTICAL CHEMISTRY	0003-2700	CHEMISTRY, ANALYTICAL
374	ANAL CHIM ACTA	ANALYTICA CHIMICA ACTA	0003-2670	CHEMISTRY, ANALYTICAL
375	ANAL LETT	ANALYTICAL LETTERS	0003-2719	CHEMISTRY, ANALYTICAL
376	ANAL MATH PHYS	ANALYSIS AND MATHEMATICAL PHYSICS	1664-2368	MATHEMATICS; MATHEMATICS, APPLIED
377	ANAL METHODS-UK	ANALYTICAL METHODS	1759-9660	CHEMISTRY, ANALYTICAL; SPECTROSCOPY; FOOD SCIENCE & TECHNOLOGY
378	ANAL PDE	ANALYSIS & PDE	1948-206X	MATHEMATICS; MATHEMATICS, APPLIED
379	ANAL QUANT CYTOPATHO	ANALYTICAL AND QUANTITATIVE CYTOPATHOLOGY AND HISTOPATHOLOGY	0884-6812	CELL BIOLOGY
380	ANAL SCI	ANALYTICAL SCIENCES	0910-6340	CHEMISTRY, ANALYTICAL
381	ANALOG INTEGR CIRC S	ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING	0925-1030	COMPUTER SCIENCE, HARDWARE & ARCHITECTURE; ENGINEERING, ELECTRICAL & ELECTRONIC
382	ANALYST	ANALYST	0003-2654	CHEMISTRY, ANALYTICAL
383	ANAT HISTOL EMBRYOL	ANATOMIA HISTOLOGIA EMBRYOLOGIA	0340-2096	ANATOMY & MORPHOLOGY; VETERINARY SCIENCES
384	ANAT REC	ANATOMICAL RECORD-ADVANCES IN INTEGRATIVE ANATOMY AND EVOLUTIONARY BIOLOGY	1932-8486	ANATOMY & MORPHOLOGY
385	ANAT SCI EDUC	ANATOMICAL SCIENCES EDUCATION	1935-9772	EDUCATION, SCIENTIFIC DISCIPLINES
386	ANAT SCI INT	ANATOMICAL SCIENCE INTERNATIONAL	1447-6959	ANATOMY & MORPHOLOGY
387	ANDEAN GEOL	ANDEAN GEOLOGY	0718-7106	GEOLOGY
388	ANDROLOGIA	ANDROLOGIA	0303-4569	ANDROLOGY
389	ANDROLOGY-US	ANDROLOGY	2047-2919	ANDROLOGY
390	ANESTH ANALG	ANESTHESIA AND ANALGESIA	0003-2999	ANESTHESIOLOGY
391	ANESTHESIOLOGY	ANESTHESIOLOGY	0003-3022	ANESTHESIOLOGY
392	ANGEW CHEM INT EDIT	ANGEWANDTE CHEMIE-INTERNATIONAL EDITION	1433-7851	CHEMISTRY, MULTIDISCIPLINARY
393	ANGIOGENESIS	ANGIOGENESIS	0969-6970	PERIPHERAL VASCULAR DISEASE
394	ANGIOLOGY	ANGIOLOGY	0003-3197	PERIPHERAL VASCULAR DISEASE
395	ANGLE ORTHOD	ANGLE ORTHODONTIST	0003-3219	DENTISTRY, ORAL SURGERY & MEDICINE
396	ANIM BEHAV	ANIMAL BEHAVIOUR	0003-3472	BEHAVIORAL SCIENCES; ZOOLOGY
397	ANIM BIOL	ANIMAL BIOLOGY	1570-7555	ZOOLOGY
398	ANIM BIOTECHNOL	ANIMAL BIOTECHNOLOGY	1049-5398	AGRICULTURE, DAIRY & ANIMAL SCIENCE; BIOTECHNOLOGY & APPLIED MICROBIOLOGY
399	ANIM COGN	ANIMAL COGNITION	1435-9448	BEHAVIORAL SCIENCES; ZOOLOGY
400	ANIM CONSERV	ANIMAL CONSERVATION	1367-9430	BIODIVERSITY CONSERVATION; ECOLOGY
401	ANIM FEED SCI TECH	ANIMAL FEED SCIENCE AND TECHNOLOGY	0377-8401	AGRICULTURE, DAIRY & ANIMAL SCIENCE
402	ANIM GENET	ANIMAL GENETICS	0268-9146	AGRICULTURE, DAIRY & ANIMAL SCIENCE; GENETICS & HEREDITY
403	ANIM PROD SCI	ANIMAL PRODUCTION SCIENCE	1836-0939	AGRICULTURE, MULTIDISCIPLINARY
404	ANIM REPROD SCI	ANIMAL REPRODUCTION SCIENCE	0378-4320	AGRICULTURE, DAIRY & ANIMAL SCIENCE; REPRODUCTIVE BIOLOGY
405	ANIM SCI J	ANIMAL SCIENCE JOURNAL	1344-3941	AGRICULTURE, DAIRY & ANIMAL SCIENCE
406	ANIM SCI PAP REP	ANIMAL SCIENCE PAPERS AND REPORTS	0860-4037	AGRICULTURE, DAIRY & ANIMAL SCIENCE
407	ANIM WELFARE	ANIMAL WELFARE	0962-7286	ZOOLOGY; VETERINARY SCIENCES
408	ANIMAL	ANIMAL	1751-7311	VETERINARY SCIENCES; AGRICULTURE, DAIRY & ANIMAL SCIENCE
409	ANN ACAD MED SINGAP	ANNALS ACADEMY OF MEDICINE SINGAPORE	0304-4602	MEDICINE, GENERAL & INTERNAL
