Dergi Adı,ISSN,Dergi Puanı,Teşvik Miktarı
Journal of Occupational Health Psychology,1076-8998,76.17,4044.91
JOURNAL OF OCCUPATIONAL HEALTH,1341-9145,20.63,635.25
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,1076-2752,29.58,833.08
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL HYGIENE,1545-9624,17.72,592.51
JOURNAL OF OBSTETRICS AND GYNAECOLOGY RESEARCH,1341-8076,16.09,572.72
JOURNAL OF OBSTETRICS AND GYNAECOLOGY,0144-3615,8.92,516.66
Journal of Obsessive-Compulsive and Related Disorders,2211-3649,15.1,562.01
Journal of Nutrigenetics and Nutrigenomics,1661-6499,26.08,743.1
JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY,0301-4800,12.33,537.36
Journal of Nutrition Health & Aging,1279-7707,44.28,1413.16
JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR,1499-4046,45.32,1468.14
JOURNAL OF NUTRITIONAL BIOCHEMISTRY,0955-2863,47.64,1596.59
JOURNAL OF NUTRITION,0022-3166,68.54,3222.83
JOURNAL OF NURSING SCHOLARSHIP,1527-6546,95.52,6742.53
Journal of Nursing Research,1682-3141,45.52,1478.72
Journal of Nursing Management,0966-0429,83.13,4911.12
JOURNAL OF NURSING EDUCATION,0148-4834,36.12,1048.84
JOURNAL OF NURSING CARE QUALITY,1057-3631,54.33,2022.88
JOURNAL OF NURSING ADMINISTRATION,0002-0443,64.48,2836.79
Journal of Numerical Mathematics,1570-2820,43.11,1353.92
JOURNAL OF NUMBER THEORY,0022-314X,23.59,689.13
JOURNAL OF NUCLEAR SCIENCE AND TECHNOLOGY,0022-3131,84.64,5114.14
JOURNAL OF NUCLEAR MEDICINE,0161-5505,100,7500
JOURNAL OF NUCLEAR MATERIALS,0022-3115,100,7500
JOURNAL OF NUCLEAR CARDIOLOGY,1071-3581,46.14,1512.05
JOURNAL OF NONVERBAL BEHAVIOR,0191-5886,46.92,1555.81
JOURNAL OF NONPARAMETRIC STATISTICS,1048-5252,16,571.73
Journal of Nonlinear Sciences and Applications,2008-1898,25.23,723.92
JOURNAL OF NONLINEAR SCIENCE,0938-8974,92.88,6319.92
JOURNAL OF NONLINEAR OPTICAL PHYSICS & MATERIALS,0218-8635,3.34,501.43
JOURNAL OF NONLINEAR MATHEMATICAL PHYSICS,1402-9251,22.83,674.4
Journal of Nonlinear and Convex Analysis,1345-4773,11.04,528.33
JOURNAL OF NONDESTRUCTIVE EVALUATION,0195-9298,57.76,2274.68
Journal of Noncommutative Geometry,1661-6952,72.26,3607.36
JOURNAL OF NON-NEWTONIAN FLUID MECHANICS,0377-0257,31.49,889.5
JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS,0340-0204,27.55,778.87
JOURNAL OF NON-CRYSTALLINE SOLIDS,0022-3093,56.32,2166.55
JOURNAL OF NIPPON MEDICAL SCHOOL,1345-4676,2.66,500.81
JOURNAL OF NEW MATERIALS FOR ELECTROCHEMICAL SYSTEMS,1480-2422,4.93,503.77
JOURNAL OF NEUROVIROLOGY,1355-0284,24.56,709.27
JOURNAL OF NEUROTRAUMA,0897-7151,49.35,1697.76
JOURNAL OF NEUROSURGERY-SPINE,1547-5654,60.01,2453.13
Journal of Neurosurgery-Pediatrics,1933-0707,33.24,945.88
Journal of Neurosurgical Sciences,0390-5616,18.26,599.76
JOURNAL OF NEUROSURGICAL ANESTHESIOLOGY,0898-4921,37.41,1099.08
JOURNAL OF NEUROSURGERY,0022-3085,78.88,4367.85
JOURNAL OF NEUROSCIENCE RESEARCH,0360-4012,16.22,574.17
Journal of Neuroscience Psychology and Economics,1937-321X,12.99,542.57
JOURNAL OF NEUROSCIENCE NURSING,0888-0395,45.82,1494.85
JOURNAL OF NEUROSCIENCE METHODS,0165-0270,14.94,560.39
JOURNAL OF NEUROSCIENCE,0270-6474,57.1,2224.6
JOURNAL OF NEURORADIOLOGY,0150-9861,19.38,615.7
Journal of Neuropsychology,1748-6645,20.38,631.3
JOURNAL OF NEUROPSYCHIATRY AND CLINICAL NEUROSCIENCES,0895-0172,34.51,989.64
JOURNAL OF NEUROPHYSIOLOGY,0022-3077,45.54,1479.49
JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,0022-3069,55.72,2122.12
JOURNAL OF NEUROLINGUISTICS,0911-6044,45.13,1457.51
Journal of Neurological Surgery Part B-Skull Base,2193-6331,15.37,564.78
Journal of Neurological Surgery Part A-Central European Neurosurgery,2193-6315,8.65,515.42
Journal of Neurological Sciences-Turkish,1302-1664,0.34,500
JOURNAL OF THE NEUROLOGICAL SCIENCES,0022-510X,27.25,771.31
Journal of Neurologic Physical Therapy,1557-0576,82.33,4805.35
JOURNAL OF NEUROLOGY NEUROSURGERY AND PSYCHIATRY,0022-3050,100,7500
JOURNAL OF NEUROLOGY,0340-5354,41.88,1294.6
Journal of NeuroInterventional Surgery,1759-8478,53.94,1995.71
Journal of Neuroinflammation,1742-2094,30.39,856.25
JOURNAL OF NEUROIMMUNOLOGY,0165-5728,15.15,562.56
Journal of Neuroimmune Pharmacology,1557-1890,35.33,1019.21
JOURNAL OF NEUROIMAGING,1051-2284,30.33,854.76
JOURNAL OF NEUROGENETICS,0167-7063,12.84,541.35
Journal of Neurogastroenterology and Motility,2093-0879,24.39,705.72
Journal of NeuroEngineering and Rehabilitation,1743-0003,87.88,5568.07
JOURNAL OF NEUROENDOCRINOLOGY,0953-8194,28.77,810.84
Journal of Neurodevelopmental Disorders,1866-1947,49.2,1688.38
JOURNAL OF NEUROCHEMISTRY,0022-3042,23.82,693.84
JOURNAL OF NEURO-OPHTHALMOLOGY,1070-8022,34.06,974.06
JOURNAL OF NEURO-ONCOLOGY,0167-594X,32.51,921.9
JOURNAL OF NEURAL TRANSMISSION,0300-9564,26.73,758.49
Journal of Neural Engineering,1741-2560,52.96,1928.53
Journal of Network and Systems Management,1064-7570,20.77,637.61
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,1084-8045,35.98,1043.58
JOURNAL OF NERVOUS AND MENTAL DISEASE,0022-3018,24.02,697.87
JOURNAL OF NEPHROLOGY,1121-8428,20.94,640.46
Journal of Nepal Medical Association,0028-2715,2.09,500.44
JOURNAL OF NEMATOLOGY,0022-300X,25.32,725.76
JOURNAL OF NEAR INFRARED SPECTROSCOPY,0967-0335,28.34,799.32
JOURNAL OF NAVIGATION,0373-4633,34.97,1006.23
JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,1391-4588,0.58,500.02
JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,0027-9684,7.37,510.32
Journal of the National Comprehensive Cancer Network,1540-1405,33.62,958.6
JOURNAL OF NATURAL PRODUCTS,0163-3864,54.31,2021.61
Journal of Natural Medicines,1340-3443,18.34,600.81
JOURNAL OF NATURAL HISTORY,0022-2933,8.86,516.37
Journal of Natural Gas Science and Engineering,1875-5100,25.78,736.26
Journal of Natural Gas Chemistry,1003-9953,33.49,954.24
Journal of Natural Fibers,1544-0478,14.08,552.08
JOURNAL FOR NATURE CONSERVATION,1617-1381,15.78,569.26
JOURNAL OF NANOSCIENCE AND NANOTECHNOLOGY,1533-4880,4.17,502.49
Journal of Nanophotonics,1934-2608,14,551.31
JOURNAL OF NANOPARTICLE RESEARCH,1388-0764,13.71,548.72
Journal of Nanomaterials,1687-4110,8.53,514.86
Journal of Nanoelectronics and Optoelectronics,1555-130X,4.76,503.46
JOURNAL OF NANOBIOTECHNOLOGY,1477-3155,33.91,968.81
Journal of Nano Research,1662-5250,2.97,501.07
JOURNAL DE MYCOLOGIE MEDICALE,1156-5233,2.83,500.94
JOURNAL OF MUSIC THERAPY,0022-2917,27.1,767.73
JOURNAL OF MUSCULOSKELETAL PAIN,1058-2452,7.68,511.43
JOURNAL OF MUSCULOSKELETAL & NEURONAL INTERACTIONS,1108-7161,24.04,698.27
JOURNAL OF MUSCLE RESEARCH AND CELL MOTILITY,0142-4319,7.28,510
JOURNAL OF MULTIVARIATE ANALYSIS,0047-259X,27.37,774.34
Journal on Multimodal User Interfaces,1783-7677,12.43,538.09
JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT,0883-8534,8.32,513.99
JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,1542-3980,8.83,516.21
Journal of Mountain Science,1672-6316,10.57,525.44
JOURNAL OF MOTOR BEHAVIOR,0022-2895,47.84,1607.97
JOURNAL OF MORPHOLOGY,0362-2525,33.71,961.72
JOURNAL OF MORAL EDUCATION,0305-7240,10.42,524.54
JOURNAL OF MONEY CREDIT AND BANKING,0022-2879,42.1,1304.92
JOURNAL OF MONETARY ECONOMICS,0304-3932,100,7500
JOURNAL OF MOLLUSCAN STUDIES,0260-1230,40.3,1221.92
JOURNAL OF MOLECULAR STRUCTURE,0022-2860,5.16,504.23
JOURNAL OF MOLECULAR SPECTROSCOPY,0022-2852,25.61,732.23
JOURNAL OF MOLECULAR RECOGNITION,0952-3499,20.32,630.3
JOURNAL OF MOLECULAR NEUROSCIENCE,0895-8696,12.46,538.36
JOURNAL OF MOLECULAR MODELING,1610-2940,20.53,633.74
JOURNAL OF MOLECULAR MICROBIOLOGY AND BIOTECHNOLOGY,1464-1801,18.72,606.16
JOURNAL OF MOLECULAR MEDICINE-JMM,0946-2716,38.61,1148.45
JOURNAL OF MOLECULAR LIQUIDS,0167-7322,24.08,699.19
JOURNAL OF MOLECULAR HISTOLOGY,1567-2379,4.45,502.92
JOURNAL OF MOLECULAR GRAPHICS & MODELLING,1093-3263,28.09,792.86
JOURNAL OF MOLECULAR EVOLUTION,0022-2844,15.29,564.04
JOURNAL OF MOLECULAR ENDOCRINOLOGY,0952-5041,32.6,924.91
JOURNAL OF MOLECULAR DIAGNOSTICS,1525-1578,53.81,1986.94
JOURNAL OF MOLECULAR AND CELLULAR CARDIOLOGY,0022-2828,56.32,2166.16
Journal of Molecular Cell Biology,1674-2788,32.39,917.85
JOURNAL OF MOLECULAR CATALYSIS B-ENZYMATIC,1381-1177,10.08,522.57
JOURNAL OF MOLECULAR CATALYSIS A-CHEMICAL,1381-1169,14.06,551.92
JOURNAL OF MOLECULAR BIOLOGY,0022-2836,32.18,911.33
JOURNAL OF MODERN OPTICS,0950-0340,11.06,528.45
Journal of Modern Dynamics,1930-5311,97.05,6994.28
JOURNAL OF MODERN AFRICAN STUDIES,0022-278X,77.62,4215.64
Journal of Mixed Methods Research,1558-6898,83.36,4941.22
Journal of Minimally Invasive Gynecology,1553-4650,33.31,948.26
Journal of Minimal Access Surgery,0972-9941,18.12,597.85
Journal of Mineralogical and Petrological Sciences,1345-6296,10.18,523.15
JOURNAL OF MINING SCIENCE,1062-7391,1.57,500.22
Journal of Mining and Metallurgy Section B-Metallurgy,1450-5339,27.92,788.31
JOURNAL OF MIDWIFERY & WOMENS HEALTH,1526-9523,63.43,2743.28
Journal of Middle East Womens Studies,1552-5864,39.43,1183.51
JOURNAL OF MICROWAVE POWER AND ELECTROMAGNETIC ENERGY,0832-7823,7.22,509.82
JOURNAL OF MICROSCOPY,0022-2720,50.42,1763.56
JOURNAL OF MICROPALAEONTOLOGY,0262-821X,18.44,602.25
JOURNAL OF MICROMECHANICS AND MICROENGINEERING,0960-1317,54.53,2036.86
JOURNAL OF MICROENCAPSULATION,0265-2048,27.34,773.65
JOURNAL OF MICROELECTROMECHANICAL SYSTEMS,1057-7157,60.33,2479.04
JOURNAL OF MICROBIOLOGICAL METHODS,0167-7012,18.11,597.69
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,1684-1182,22.59,669.85
JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,1017-7825,10.31,523.91
JOURNAL OF MICROBIOLOGY,1225-8873,10.93,527.64
Journal of Micro-Nanolithography MEMS and MOEMS,1932-5150,11.95,534.59
Journal of the Mexican Chemical Society,1870-249X,2.92,501.02
JOURNAL OF THE METEOROLOGICAL SOCIETY OF JAPAN,0026-1165,25.61,732.29
Journal of Meteorological Research,2095-6037,1,500.07
JOURNAL OF METAMORPHIC GEOLOGY,0263-4929,100,7500
Journal of Mental Health Research in Intellectual Disabilities,1931-5864,35.58,1028.65
Journal of Mental Health Policy and Economics,1091-4358,38.7,1152.29
Journal of Mental Health,0963-8237,21.19,644.76
Journal of Mens Health,1875-6867,5.99,506.15
JOURNAL OF MEMBRANE SCIENCE,0376-7388,68.15,3183.65
JOURNAL OF MEMBRANE BIOLOGY,0022-2631,24.18,701.15
JOURNAL OF MEMORY AND LANGUAGE,0749-596X,100,7500
Journal of Media Psychology-Theories Methods and Applications,1864-1105,40.55,1232.88
JOURNAL OF MEDIA ECONOMICS,0899-7764,10.13,522.86
JOURNAL OF MEDICAL VIROLOGY,0146-6615,19.38,615.79
Journal of Medical Ultrasonics,1346-4523,6.4,507.26
JOURNAL OF MEDICAL SYSTEMS,0148-5598,19.98,624.84
JOURNAL OF MEDICAL SCREENING,0969-1413,48.16,1626.65
JOURNAL OF MEDICAL PRIMATOLOGY,0047-2565,40.65,1237.39
JOURNAL OF MEDICINE AND PHILOSOPHY,0360-5310,30.72,866.09
JOURNAL OF MEDICAL MICROBIOLOGY,0022-2615,20.58,634.48
JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,1536-5050,24.49,707.69
JOURNAL OF MEDICAL INTERNET RESEARCH,1438-8871,73.18,3707.29
Journal of Medical Imaging and Radiation Oncology,1754-9477,23.07,678.91
Journal of Medical Imaging and Health Informatics,2156-7018,2.25,500.53
JOURNAL OF MEDICAL GENETICS,0022-2593,45.55,1480.27
JOURNAL OF MEDICINAL FOOD,1096-620X,32.51,921.95
JOURNAL OF MEDICAL ETHICS,0306-6800,51.6,1838.96
JOURNAL OF MEDICAL ENTOMOLOGY,0022-2585,79.23,4411.82
JOURNAL OF MEDICAL ECONOMICS,1369-6998,27.15,768.82
Journal of Medical Devices-Transactions of the ASME,1932-6181,8.41,514.36
JOURNAL OF MEDICINAL CHEMISTRY,0022-2623,100,7500
Journal of Medical and Biological Engineering,1609-0985,10.45,524.7
Journal of Medical Biochemistry,1452-8258,0.67,500.03
Journal of Mechanical Science and Technology,1738-494X,14.82,559.2
Journal of Mechanisms and Robotics-Transactions of the ASME,1942-4302,40.8,1244.4
JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,0022-5096,93.19,6368.66
Journal of Mechanics in Medicine and Biology,0219-5194,5.2,504.31
Journal of Mechanics of Materials and Structures,1559-3959,18.72,606.18
JOURNAL OF MECHANICAL DESIGN,1050-0472,44.38,1418.3
Journal of the Mechanical Behavior of Biomedical Materials,1751-6161,57.06,2221.95
JOURNAL OF MECHANICS,1727-7191,4.47,502.95
JOURNAL OF MATHEMATICAL SOCIOLOGY,0022-250X,14.82,559.22
JOURNAL OF THE MATHEMATICAL SOCIETY OF JAPAN,0025-5645,30.71,865.92
JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,0021-7824,95.26,6700.19
JOURNAL OF MATHEMATICAL PSYCHOLOGY,0022-2496,49.54,1709.03
Journal of Mathematical Physics Analysis Geometry,1812-9471,1.88,500.34
JOURNAL OF MATHEMATICAL PHYSICS,0022-2488,34.52,990.08
Journal of Mathematical Logic,0219-0613,57.55,2258.95
Journal of Mathematical Inequalities,1846-579X,8.71,515.69
JOURNAL OF MATHEMATICAL IMAGING AND VISION,0924-9907,86.09,5313.11
Journal of Mathematical Fluid Mechanics,1422-6928,100,7500
JOURNAL OF MATHEMATICAL ECONOMICS,0304-4068,24.98,718.38
JOURNAL OF MATHEMATICAL CHEMISTRY,0259-9791,12.65,539.81
JOURNAL OF MATHEMATICAL BIOLOGY,0303-6812,44.73,1436.46
JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS,0022-247X,33.21,944.85
Journal of Maternal-Fetal & Neonatal Medicine,1476-7058,25.86,738.07
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,0957-4530,33.17,943.71
JOURNAL OF MATERIALS SCIENCE-MATERIALS IN ELECTRONICS,0957-4522,13.99,551.28
JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,1005-0302,52.35,1887.93
JOURNAL OF MATERIALS SCIENCE,0022-2461,13.62,547.9
JOURNAL OF MATERIALS RESEARCH,0884-2914,13.23,544.53
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,0924-0136,77.88,4247.25
JOURNAL OF MATERIALS ENGINEERING AND PERFORMANCE,1059-9495,6.73,508.22
Journal of Materials Education,0738-7989,22.59,669.8
Journal of Material Cycles and Waste Management,1438-4957,10.13,522.87
JOURNAL OF MATERIALS IN CIVIL ENGINEERING,0899-1561,44.05,1401.43
Journal of Materials Chemistry C,2050-7526,23.16,680.63
Journal of Materials Chemistry B,2050-750X,52.7,1911.07
Journal of Materials Chemistry A,2050-7488,68.75,3243.04
JOURNAL OF MASS SPECTROMETRY,1076-5174,54.88,2061.75
Journal of Mass Media Ethics,0890-0523,18.56,603.93
JOURNALISM & MASS COMMUNICATION QUARTERLY,1077-6990,36.71,1071.54
JOURNAL OF MARRIAGE AND FAMILY,0022-2445,92.65,6283.6
JOURNAL OF MARKETING RESEARCH,0022-2437,100,7500
JOURNAL OF MARKETING,0022-2429,100,7500
JOURNAL OF MARITAL AND FAMILY THERAPY,0194-472X,23.75,692.52
JOURNAL OF MARINE SYSTEMS,0924-7963,77.64,4217.88
Journal of Marine Science and Technology-Taiwan,1023-2796,12.67,539.98
JOURNAL OF MARINE SCIENCE AND TECHNOLOGY,0948-4280,46.87,1553.06
JOURNAL OF MARINE RESEARCH,0022-2402,35.74,1034.5
Journal of Marine Engineering and Technology,1476-1548,10.86,527.23
JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,0025-3154,21.81,655.57
Journal of Maps,1744-5647,14.82,559.19
JOURNAL OF MANUFACTURING SYSTEMS,0278-6125,45.71,1489.07
JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,1087-1357,30.79,868.34
JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,0161-4754,34.69,996.15
JOURNAL OF MANAGEMENT STUDIES,0022-2380,90.97,6025.18
Journal of Managerial Psychology,0268-3946,26.7,757.83
Journal of Management & Organization,1833-3672,6.37,507.18
JOURNAL OF MANAGEMENT INQUIRY,1056-4926,27.2,769.98
JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,0742-1222,78.39,4308.4
JOURNAL OF MANAGEMENT IN ENGINEERING,0742-597X,35.13,1012.11
JOURNAL OF MANAGED CARE PHARMACY,1083-4087,56.97,2214.96
JOURNAL OF MANAGEMENT,0149-2063,100,7500
JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA,1083-3021,65.06,2889.67
JOURNAL OF MAMMALOGY,0022-2372,58.09,2300.05
JOURNAL OF MAMMALIAN EVOLUTION,1064-7554,88.74,5692.5
JOURNAL OF MAGNETIC RESONANCE IMAGING,1053-1807,66.9,3062.24
JOURNAL OF MAGNETIC RESONANCE,1090-7807,57.59,2262.11
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,0304-8853,11.13,528.92
Journal of Magnetics,1226-1750,1.57,500.22
Journal of Macromolecular Science Part B-Physics,0022-2348,6.13,506.5
Journal of Macromolecular Science Part A-Pure and Applied Chemistry,1060-1325,6.03,506.24
Journal of Macromarketing,0276-1467,9.81,521.09
JOURNAL OF MACROECONOMICS,0164-0704,9.22,518.05
JOURNAL OF MACHINE LEARNING RESEARCH,1532-4435,100,7500
JOURNAL OF LUMINESCENCE,0022-2313,15.25,563.6
JOURNAL OF LOW TEMPERATURE PHYSICS,0022-2291,8.56,514.99
Journal of Lower Genital Tract Disease,1089-2591,30.99,874.27
JOURNAL OF LOW FREQUENCY NOISE VIBRATION AND ACTIVE CONTROL,0263-0923,2.66,500.81
JOURNAL OF LOSS & TRAUMA,1532-5024,16.65,579.14
JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES,0950-4230,23.28,683.03
JOURNAL OF THE LONDON MATHEMATICAL SOCIETY-SECOND SERIES,0024-6107,54.73,2050.83
JOURNAL OF LOGIC AND COMPUTATION,0955-792X,29.74,837.56
JOURNAL OF LOGIC AND ALGEBRAIC PROGRAMMING,1567-8326,19.11,611.79
Journal of Logical and Algebraic Methods in Programming,2352-2208,7.69,511.5
JOURNAL OF LITERACY RESEARCH,1086-296X,45.54,1479.61
JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES,1082-6076,7.95,512.48
JOURNAL OF LIPOSOME RESEARCH,0898-2104,12.54,538.97
JOURNAL OF LIPID RESEARCH,0022-2275,35.28,1017.34
JOURNAL OF LIMNOLOGY,1129-5767,18.26,599.7
JOURNAL OF LIGHTWAVE TECHNOLOGY,0733-8724,52.66,1908.82
JOURNAL OF LIE THEORY,0949-5932,22.27,663.82
JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,0961-0006,15.94,571.02
JOURNAL OF LEUKOCYTE BIOLOGY,0741-5400,69.29,3297.86
JOURNAL OF THE LEPIDOPTERISTS SOCIETY,0024-0966,8.13,513.19
JOURNAL OF LEISURE RESEARCH,0022-2216,36.86,1077.26
JOURNAL OF LEGAL STUDIES,0047-2530,80.27,4541.46
JOURNAL OF LEGAL MEDICINE,0194-7648,13.94,550.76
JOURNAL OF LEGAL EDUCATION,0022-2208,19.19,612.96
JOURNAL OF THE LEARNING SCIENCES,1050-8406,100,7500
JOURNAL OF LEARNING DISABILITIES,0022-2194,100,7500
Journal of Leadership & Organizational Studies,1548-0518,18.61,604.56
JOURNAL OF LAW AND SOCIETY,0263-323X,27.49,777.46
JOURNAL OF LAW MEDICINE & ETHICS,1073-1105,51.05,1803.41
JOURNAL OF LAW ECONOMICS & ORGANIZATION,8756-6222,100,7500
JOURNAL OF LAW & ECONOMICS,0022-2186,100,7500
Journal of Laser Micro Nanoengineering,1880-0688,4.38,502.81
JOURNAL OF LASER APPLICATIONS,1042-346X,14.06,551.87
JOURNAL OF LARYNGOLOGY AND OTOLOGY,0022-2151,20.23,628.88
Journal of Laparoendoscopic & Advanced Surgical Techniques,1092-6429,24.06,698.66
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,0261-927X,70.92,3465.3
JOURNAL OF LABOR RESEARCH,0195-3613,7.13,509.52
JOURNAL OF LABOR ECONOMICS,0734-306X,96.16,6848.05
JOURNAL OF LABELLED COMPOUNDS & RADIOPHARMACEUTICALS,0362-4803,17.1,584.65
Journal of the Korean Surgical Society,2233-7903,7.95,512.47
Journal of the Korean Statistical Society,1226-3192,8.35,514.1
Journal of the Korean Society for Applied Biological Chemistry,1738-2203,13.75,549.09
JOURNAL OF THE KOREAN PHYSICAL SOCIETY,0374-4884,1.09,500.09
Journal of Korean Neurosurgical Society,2005-3711,16.07,572.49
JOURNAL OF KOREAN MEDICAL SCIENCE,1011-8934,5.89,505.88
JOURNAL OF THE KOREAN MATHEMATICAL SOCIETY,0304-9914,10.88,527.35
Journal of the Korean Astronomical Society,1225-4614,4.45,502.92
Journal of Korean Academy of Nursing,2005-3673,13.43,546.29
Journal of Korea Trade,1229-828X,0.52,500.01
Journal of Knowledge Management,1367-3270,26.95,763.97
JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS,0218-2165,13.28,545.02
Journal of Knee Surgery,1538-8506,31.76,897.87
JOURNAL OF THE KANSAS ENTOMOLOGICAL SOCIETY,0022-8567,14.14,552.63
Journal of K-Theory,1865-2433,38.19,1130.81
JOURNAL OF JAPANESE STUDIES,0095-6848,16.27,574.7
JOURNAL OF THE JAPANESE SOCIETY FOR HORTICULTURAL SCIENCE,1882-3351,25,718.75
JOURNAL OF THE JAPANESE SOCIETY FOR FOOD SCIENCE AND TECHNOLOGY-NIPPON SHOKUHIN KAGAKU KOGAKU KAISHI,1341-027X,2.28,500.55
JOURNAL OF THE JAPAN PETROLEUM INSTITUTE,1346-8804,16.37,575.89
JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,0889-1583,29.76,838.32
JOURNAL OF THE JAPAN INSTITUTE OF METALS,0021-4876,6.98,509.01
JOURNAL OF IRRIGATION AND DRAINAGE ENGINEERING,0733-9437,32.61,925.24
JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL,1006-706X,16.24,574.42
Journal of the Iranian Chemical Society,1735-207X,4.9,503.73
JOURNAL OF INVESTIGATIVE SURGERY,0894-1939,19.75,621.28
Journal of Investigative Psychology and Offender Profiling,1544-4759,28.62,806.7
JOURNAL OF INVESTIGATIVE MEDICINE,1081-5589,12.95,542.28
JOURNAL OF INVESTIGATIVE DERMATOLOGY,0022-202X,100,7500
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,1018-9068,12.88,541.65
JOURNAL OF INVERTEBRATE PATHOLOGY,0022-2011,56.31,2165.43
Journal of Inverse and Ill-Posed Problems,0928-0219,23.17,680.9
JOURNAL OF INVASIVE CARDIOLOGY,1042-3931,13.83,549.83
JOURNAL OF INTERVENTIONAL CARDIOLOGY,0896-4327,14.27,553.85
JOURNAL OF INTERVENTIONAL CARDIAC ELECTROPHYSIOLOGY,1383-875X,19.24,613.73
Journal of Interprofessional Care,1356-1820,17.25,586.45
JOURNAL OF INTERPERSONAL VIOLENCE,0886-2605,41.91,1295.86
Journal of Internet Technology,1607-9264,3.73,501.88
JOURNAL OF INTERNAL MEDICINE,0954-6820,30.92,872.02
JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,1079-9907,19.43,616.41
JOURNAL OF INTERACTIVE MARKETING,1094-9968,43.98,1397.93
JOURNAL OF INTELLECTUAL & DEVELOPMENTAL DISABILITY,1366-8250,57.35,2243.87
Journal of Intelligent Transportation Systems,1547-2450,35.43,1022.9
JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,0921-0296,18.09,597.47
JOURNAL OF INTELLIGENT MANUFACTURING,0956-5515,36.93,1080.21
JOURNAL OF INTELLIGENT INFORMATION SYSTEMS,0925-9902,13.42,546.22
JOURNAL OF INTELLIGENT & FUZZY SYSTEMS,1064-1246,6.54,507.66
JOURNAL OF INTELLECTUAL DISABILITY RESEARCH,0964-2633,73.82,3777.49
JOURNAL OF INTELLIGENT MATERIAL SYSTEMS AND STRUCTURES,1045-389X,14.88,559.83
Journal of Integral Equations and Applications,0897-3962,19.65,619.86
Journal of Integrative Plant Biology,1672-9072,34.79,999.58
Journal of Integrative Neuroscience,0219-6352,5.28,504.48
Journal of Integrative Environmental Sciences,1943-815X,12.68,540.06
Journal of Integrative Agriculture,2095-3119,22.33,664.87
Journal of International Trade & Economic Development,0963-8199,3.59,501.71
Journal of the International Society of Sports Nutrition,1550-2783,35.86,1038.89
JOURNAL INTERNATIONAL DES SCIENCES DE LA VIGNE ET DU VIN,1151-0285,38,1123.1
Journal of International Relations and Development,1408-6980,17.24,586.43
JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,1355-6177,44.74,1437
JOURNAL OF INTERNATIONAL MONEY AND FINANCE,0261-5606,22.4,666.32
JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,0300-0605,10.86,527.23
JOURNAL OF INTERNATIONAL MARKETING,1069-031X,25.14,721.86
Journal of International Management,1075-4253,24.26,702.84
Journal of International Financial Markets Institutions & Money,1042-4431,21.57,651.25
Journal of International Financial Management & Accounting,0954-1314,2.57,500.74
JOURNAL OF INTERNATIONAL ECONOMIC LAW,1369-3034,41.58,1280.58
JOURNAL OF INTERNATIONAL ECONOMICS,0022-1996,57.9,2285.4
Journal of International Development,0954-1748,32.66,926.77
